Planet,Field,Current Database,Official Appendix,Official System Entry
Abafar,Grid,N5,O6,Abafar Quelii
Ahch-To,Grid,E13,F13,Ahch-To
Anaxes,Grid,L9,R7,Anaxes Antemeridian
Arcan,Grid,R6,S6,Arcan Cronese Mandate
Atollon,Grid,U7,T7,Atollon Lothal
Bardotta,Grid,J13,K13,Bardotta Shasos
Bith,Grid,M18,L13,Bith
Chardaan,Grid,N13,N14,Chardaan
Corbos,Grid,R5,Q5,Corbos Esstran
Doniphon,Grid,Q4,P4,Doniphon Kwymar
Eredenn,Grid,T6,S6,Eredenn Tion Hegemony
Glom Tho,Grid,I8,O15,Glom Tho Hevvrol
Hutlar,Grid,L18,L17,Hutlar Senex
Hynah,Grid,O5,P5,Hynah Kalamith
Kalsunor,Grid,R5,R4,Kalsunor Esstran (Sith Worlds)
Kira,Grid,N15,N16,Kira Kira
Krayiss,Grid,R4,R5,Krayiss Esstran (Sith Worlds)
Kwookrrr,Grid,Q9,P9,Kwookrrr Mytaranor
Lah'mu,Grid,L4,L3,Lah'mu Raioballo
Metellos,Grid,K9,K10,Metellos Corusca
New Balosar,Grid,K16,K15,New Balosar Arc d'Stot
Perin,Grid,S3,R3,Perin Trianii Space*
Rakhuuun,Grid,P9,Q10,Rakhuuun Mytaranor
Rodia,Grid,Q16,R16,Rodia Savareen
Rorgam,Grid,P10,Q10,Rorgam Terr'skiar
Salient,Grid,S3,R3,Salient Aparo
Salvara,Grid,Q8,Q7,Salvara Tennuutta
Simpla,Grid,P5,O5,Simpla Kalamith
Stassia,Grid,K10,L10,Stassia
Talhovi,Grid,K18,L18,Talhovi Juvex
Trellen,Grid,M11,M10,Trellen
Troiken,Grid,S4,S5,Troiken Colundra
Tython,Grid,L10,K10,Tython
Varvrona,Grid,K3,K4,Varvrona Obtrexta
Zyluria,Grid,L18,L17,Zyluria Juvex
Anaxes,Region,Core,Outer Rim Territories,Anaxes Antemeridian
Bith,Region,Outer Rim,Core Worlds,Bith
Celdaru,Region,Expansion Region,Wild Space,Celdaru
Concord Dawn,Region,Mid Rim,Outer Rim Territories,Concord Dawn Mandalore
Drongar,Region,Wild Space,Outer Rim Territories,Drongar
Fibuli,Region,Outer Rim,Wild Space,Fibuli Trianii Space*
Geroon,Region,Mid Rim,Unknown Regions,Geroon
Gizer,Region,Expansion Region,Mid Rim,Gizer Lantillian
Glom Tho,Region,Expansion Region,Mid Rim,Glom Tho Hevvrol
Gonmore,Region,Mid Rim,Outer Rim Territories,Gonmore Fath
Joodrudda,Region,Outer Rim,Wild Space,Joodrudda
Kamar,Region,Outer Rim,Wild Space,Kamar
Kiros,Region,Expansion Regions,Expansion Region,Kiros Ehosiq
Marquarra,Region,Wild Space,Outer Rim Territories,Marquarra Prefsbelt
Mendicat,Region,Expansion Region,Wild Space,Mendicat
Murgo,Region,Mid Rim,Wild Space,Murgo
Nazzri,Region,Expansion Region,Mid Rim,Nazzri Lantillian
Nigel,Region,Mid Rim,Expansion Region,Nigel Kira
Parshoone,Region,Wild Space,Outer Rim Territories,Parshoone Perinn
Perin,Region,Outer Rim,Wild Space,Perin Trianii Space*
Quas Killam,Region,Expansion Region,Mid Rim,Quas Killam Terr'skiar
Rago,Region,Mid Rim,Wild Space,Rago
Roldalna,Region,Mid Rim,Expansion Region,Roldalna Kira
Sarrish,Region,Expansion Regions,Expansion Region,Sarrish Vensensor
Selvaris,Region,Inner Rim,Wild Space,Selvaris
Shinbone,Region,Outer Rim,Wild Space,Shinbone
Soullex,Region,Outer Rim,Wild Space,Soullex
Stassia,Region,Core,Deep Core,Stassia
Stobar,Region,Expansion Regions,Expansion Region,Stobar Boeus
Terman,Region,Hutt Space,Outer Rim Territories,Terman Tharin (Periphery)
Utegetu Nebula,Region,Mid Rim,Wild Space,Utegetu Nebula
Velabri,Region,Wild Space,Outer Rim Territories,Velabri
Abafar,Sector,Sprizen,Quelii,Abafar Quelii
Adarlon,Sector,Minos,Minos Cluster,Adarlon Minos Cluster
Aikhibba,Sector,Fel Hu,Fei Hu,Aikhibba Fei Hu
Algara,Sector,Corweillian,Lambda,Algara Lambda
Allyuen,Sector,Anoat,Javin (Anoat),Allyuen Javin (Anoat)
Anantapar,Sector,Yarith,Javin (Yarith),Anantapar Javin (Yarith)
Anaxes,Sector,Azure sector,Antemeridian,Anaxes Antemeridian
Annaj,Sector,Moddell,Zuma (Moddell),Annaj Zuma (Moddell)
Anoat,Sector,Anoat,Javin (Anoat),Anoat Javin (Anoat)
Arcan,Sector,Thanium,Cronese Mandate,Arcan Cronese Mandate
Asation,Sector,Gree,Veragi (Gree Enclave),Asation Veragi (Gree Enclave)
Ashas Ree,Sector,Sith Worlds,Esstran (Sith Worlds),Ashas Ree Esstran (Sith Worlds)
Askaj,Sector,Subterrel,Cegul,Askaj Cegul
Ast Kikorie,Sector,Moddell,Zuma (Moddell),Ast Kikorie Zuma (Moddell)
Athiss,Sector,Sith Worlds,Esstran (Sith Worlds),Athiss Esstran (Sith Worlds)
Avidich,Sector,Chiss Ascendancy,Chiss Space*,Avidich Chiss Space*
Baros,Sector,Dominus,Lothal,Baros Lothal
Bavva,Sector,Anoat,Javin (Anoat),Bavva Javin (Anoat)
Begeren,Sector,Sith Worlds,Esstran (Sith Worlds),Begeren Esstran (Sith Worlds)
Bendeluum,Sector,Anoat,Javin (Anoat),Bendeluum Javin (Anoat)
Beris,Sector,Fel Hu,Fei Hu,Beris Fei Hu
Besberra,Sector,Subterrel,Cegul,Besberra Cegul
Bespin,Sector,Anoat,Javin (Anoat),Bespin Javin (Anoat)
Bhargebba,Sector,Sith Worlds,Esstran (Sith Worlds),Bhargebba Esstran (Sith Worlds)
Bosthirda,Sector,Sith Worlds,Esstran (Sith Worlds),Bosthirda Esstran (Sith Worlds)
Bothawui,Sector,Bothan Space,Bothan,Bothawui Bothan
Brochiib,Sector,Trianii,Trianii Space*,Brochiib Trianii Space*
Burnin Konn,Sector,Anoat,Javin (Anoat),Burnin Konn Javin (Anoat)
Ch'hodos,Sector,Sith Worlds,Esstran (Sith Worlds),Ch'hodos Esstran (Sith Worlds)
Chalacta,Sector,Kastolar,Metatessu,Chalacta Metatessu
Charros,Sector,Taldot,Numesira,Charros Numesira
Chokan,Sector,Maerdocia,Maerdocian,Chokan Maerdocian
Chroma Zed,Sector,Maerdocia,Maerdocian,Chroma Zed Maerdocian
Cioral,Sector,Chiss Ascendancy,Chiss Space*,Cioral Chiss Space*
Colonial Station Chaf,Sector,Chiss Ascendancy,Chiss Space*,Colonial Station Chaf Chiss Space*
Concord Dawn,Sector,Thursa,Mandalore,Concord Dawn Mandalore
Copero,Sector,Chiss Ascendancy,Chiss Space*,Copero Chiss Space*
Cormit,Sector,Chiss Ascendancy,Chiss Space*,Cormit Chiss Space*
Council,Sector,Anoat,Javin (Anoat),Council Javin (Anoat)
Crait,Sector,Grumani,Bon'nyuw-Luq,Crait Bon'nyuw-Luq
Csaus,Sector,Chiss Ascendancy,Chiss Space*,Csaus Chiss Space*
Csilla,Sector,Chiss Ascendancy,Chiss Space*,Csilla Chiss Space*
Darlyn Boda,Sector,Anoat,Javin (Anoat),Darlyn Boda Javin (Anoat)
Delphon,Sector,Anoat,Javin (Anoat),Delphon Javin (Anoat)
Deneba,Sector,Maerdocia,Maerdocian,Deneba Maerdocian
Din Pulsar,Sector,Moddell,Zuma (Moddell),Din Pulsar Zuma (Moddell)
Dornea,Sector,Dominus,Lothal,Dornea Lothal
Dractu,Sector,Lanic Space,Lannik Space,Dractu Lannik Space
Dromund Kaas,Sector,Sith Worlds,Esstran (Sith Worlds),Dromund Kaas Esstran (Sith Worlds)
Dulathia,Sector,Landtillian,Lantillian,Dulathia Lantillian
Eadu,Sector,Calaron,Bheriz,Eadu Bheriz
Ekibo,Sector,Trianii,Trianii Space*,Ekibo Trianii Space*
Eliad,Sector,Minos,Minos Cluster,Eliad Minos Cluster
Endor,Sector,Moddell,Zuma (Moddell),Endor Zuma (Moddell)
Endor Gate,Sector,Moddell,Zuma (Moddell),Endor Gate Zuma (Moddell)
Endregaad,Sector,Tion Hegemony,Indrexu,Endregaad Indrexu
Entuur,Sector,Kesh,Urce Space,Entuur Urce Space
Ertegas,Sector,Anoat,Javin (Anoat),Ertegas Javin (Anoat)
Excarga,Sector,Svetta,Herios,Excarga Herios
Ferro,Sector,I-Sector,Illisurevimurasi,Ferro Illisurevimurasi
Fibuli,Sector,Corporate Sector,Trianii Space*,Fibuli Trianii Space*
Fornax,Sector,Clythe,Glythe,Fornax Glythe
Garel,Sector,Dominus,Lothal,Garel Lothal
Gargon,Sector,Meerian,Mandalore,Gargon Mandalore
Gbu,Sector,Pakuuni,Keldrath,Gbu Keldrath
Gizer,Sector,Locris,Lantillian,Gizer Lantillian
Glom Tho,Sector,Vardoss,Hevvrol,Glom Tho Hevvrol
Gonmore,Sector,Irishi,Fath,Gonmore Fath
Hijo,Sector,Hijoan Space,Hijoian Space,Hijo Hijoian Space
Hillindor,Sector,|,Echo,Hillindor Echo
Hoth,Sector,Anoat,Javin (Anoat),Hoth Javin (Anoat)
Hoylin,Sector,Fel Hu,Fei Hu,Hoylin Fei Hu
Indellian,Sector,Yarith,Javin (Yarith),Indellian Javin (Yarith)
Ione,Sector,Anoat,Javin (Anoat),Ione Javin (Anoat)
Iotra,Sector,Iotra,Suolriep (Iotran Expanse),Iotra Suolriep (Iotran Expanse)
Iridonia,Sector,Clythe,Glythe,Iridonia Glythe
Isde Naha,Sector,Yarith,Javin (Yarith),Isde Naha Javin (Yarith)
Ison,Sector,Anoat,Javin (Anoat),Ison Javin (Anoat)
Jaguada,Sector,Sith Worlds,Esstran (Sith Worlds),Jaguada Esstran (Sith Worlds)
Jamiron,Sector,Chiss Ascendancy,Chiss Space*,Jamiron Chiss Space*
Kalsunor,Sector,Sith Worlds,Esstran (Sith Worlds),Kalsunor Esstran (Sith Worlds)
Karideph,Sector,Minos,Minos Cluster,Karideph Minos Cluster
Karlinus,Sector,Chommel,Chommell,Karlinus Chommell
Keeara Major,Sector,|,Koros,Keeara Major Koros
Kelada,Sector,Kuluur,Duluur,Kelada Duluur
Khar Delba,Sector,Sith Worlds,Esstran (Sith Worlds),Khar Delba Esstran (Sith Worlds)
Kinoss,Sector,Chiss Ascendancy,Chiss Space*,Kinoss Chiss Space*
Kirtarkin,Sector,Anoat,Javin (Anoat),Kirtarkin Javin (Anoat)
Kitel Phard,Sector,Atrisian Commonwealth,Atrisian CW,Kitel Phard Atrisian CW
Korriz,Sector,Sith Worlds,Esstran (Sith Worlds),Korriz Esstran (Sith Worlds)
Kothlis,Sector,Bothan Space,Bothan,Kothlis Bothan
Kowak,Sector,Svetta,Sevetta,Kowak Sevetta
Krant,Sector,Bothan Space,Bothan,Krant Bothan
Krayiss,Sector,Sith Worlds,Esstran (Sith Worlds),Krayiss Esstran (Sith Worlds)
Kuar,Sector,|,Koros,Kuar Koros
Kuna's Eye,Sector,Moddell,Zuma (Moddell),Kuna's Eye Zuma (Moddell)
Kuna's Fist,Sector,Moddell,Zuma (Moddell),Kuna's Fist Zuma (Moddell)
Kuna's Horn,Sector,Moddell,Zuma (Moddell),Kuna's Horn Zuma (Moddell)
Kuna's Tail,Sector,Moddell,Zuma (Moddell),Kuna's Tail Zuma (Moddell)
Kuna's Tooth,Sector,Moddell,Zuma (Moddell),Kuna's Tooth Zuma (Moddell)
Lannik,Sector,Lanic Space,Lannik Space,Lannik Lannik Space
Lant,Sector,Periphery,Tharin (Periphery),Lant Tharin (Periphery)
Lo'Uran,Sector,Corporate Sector,Aparo,Lo'Uran Aparo
Lothal,Sector,Dominus,Lothal,Lothal Lothal
Lutrillia,Sector,Yarith,Javin (Yarith),Lutrillia Javin (Yarith)
Mandell,Sector,Bothan Space,Bothan,Mandell Bothan
