"Planet","Grid","CurrentSector","WookieepediaTitle","WookieepediaSector","MatchType","SourceUrl"
"A-Foroon","R16","Arkanis","A-Foroon","Arkanis sector","Exact title","https://starwars.fandom.com/wiki/A-Foroon"
"Aargonar","Q7","Perkell","Aargonar","Perkell sector","Exact title","https://starwars.fandom.com/wiki/Aargonar"
"Abafar","N5","Sprizen","Abafar/Legends","Sprizen sector","Exact title","https://starwars.fandom.com/wiki/Abafar%2FLegends"
"Abbaji","H16","Zuma","Abbaji system","Zuma sector (Spar)","System or continuity variant","https://starwars.fandom.com/wiki/Abbaji_system"
"Abhean","R7","Maldrood","Abhean","Maldrood sector","Exact title","https://starwars.fandom.com/wiki/Abhean"
"Abo Dreth","S3","Corporate Sector","Abo Dreth","Corporate Sector","Exact title","https://starwars.fandom.com/wiki/Abo_Dreth"
"Abraxas","K17","Yushan","Abraxas","Yushan sector","Exact title","https://starwars.fandom.com/wiki/Abraxas"
"Abridon","J18","Koradin","Abridon","Koradin sector","Exact title","https://starwars.fandom.com/wiki/Abridon"
"Absit","I19","Tunka","Absit","Tunka sector","Exact title","https://starwars.fandom.com/wiki/Absit"
"Adari","M9","Adari","Adari","Adari sector","Exact title","https://starwars.fandom.com/wiki/Adari"
"Adarlon","M20","Minos","Adarlon","Minos Cluster","Exact title","https://starwars.fandom.com/wiki/Adarlon"
"Adin","M7","Lostar","Adin","Lostar sector","Exact title","https://starwars.fandom.com/wiki/Adin"
"Adoris","L17","Senex","Adoris","Senex-Juvex","Exact title","https://starwars.fandom.com/wiki/Adoris"
"Aduba","U11","Bheriz","Aduba","Bheriz sector","Exact title","https://starwars.fandom.com/wiki/Aduba"
"Aeneid","T10","Kessel","Aeneid system","Kessel sector","System or continuity variant","https://starwars.fandom.com/wiki/Aeneid_system"
"Af'El","S8","Periphery","Af'El","Tharin sector","Exact title","https://starwars.fandom.com/wiki/Af'El"
"Agamar","M5","Lahara","Agamar","Lahara sector","Exact title","https://starwars.fandom.com/wiki/Agamar"
"Agon","T7","Ash Worlds","Agon system","Ash Worlds","System or continuity variant","https://starwars.fandom.com/wiki/Agon_system"
"Aguarl","N15","Mbandamonte","Aguarl system","Mbandamonte sector","System or continuity variant","https://starwars.fandom.com/wiki/Aguarl_system"
"Ahakista","K3","Myto","Ahakista","Myto sector","Exact title","https://starwars.fandom.com/wiki/Ahakista"
"Aikhibba","P13","Fel Hu","Aikhibba","Fei Hu sector","Exact title","https://starwars.fandom.com/wiki/Aikhibba"
"Akrit'tar","T9","Calaron","Akrit'tar/Legends","Calaron sector","Exact title","https://starwars.fandom.com/wiki/Akrit'tar%2FLegends"
"Akuria","M5","Oplovis","Akuria","Oplovis sector","Exact title","https://starwars.fandom.com/wiki/Akuria"
"Alakatha","M16","Var Hagen","Alakatha","Var Hagen sector","Exact title","https://starwars.fandom.com/wiki/Alakatha"
"Alassa Major","O16","Vilonis","Alassa Major","Vilonis sector","Exact title","https://starwars.fandom.com/wiki/Alassa_Major"
"Alderaan","M10","Alderaan sector","Alderaan","Alderaan sector","Exact title","https://starwars.fandom.com/wiki/Alderaan"
"Aldraig","M10","Alderaan sector","Aldraig","Alderaan sector","Exact title","https://starwars.fandom.com/wiki/Aldraig"
"Aleen","L7","Bright Jewel","Aleen","Bright Jewel sector","Exact title","https://starwars.fandom.com/wiki/Aleen"
"Algara","P15","Corweillian","Algara system","Lambda sector","System or continuity variant","https://starwars.fandom.com/wiki/Algara_system"
"Algarian","Q15","Dufilvian","Algarian","Dufilvian sector","Exact title","https://starwars.fandom.com/wiki/Algarian"
"Algnadesh","O9","Hapes Cluster","Algnadesh system","Hapes Cluster","System or continuity variant","https://starwars.fandom.com/wiki/Algnadesh_system"
"Algor","S6","Cronese Mandate","Algor","Cronese Mandate","Exact title","https://starwars.fandom.com/wiki/Algor"
"Allanteen","O14","Tynna","Allanteen system","Tynna sector","System or continuity variant","https://starwars.fandom.com/wiki/Allanteen_system"
"Allyuen","K18","Anoat","Allyuen","Javin sector","Exact title","https://starwars.fandom.com/wiki/Allyuen"
"Almania","S5","Mortex","Almania","Mortex sector","Exact title","https://starwars.fandom.com/wiki/Almania"
"Alpheridies","O8","Farstey","Alpheridies/Legends","Farstey sector","Exact title","https://starwars.fandom.com/wiki/Alpheridies%2FLegends"
"Alsakan","L9","Alsaka sector","Alsakan","Alsaka sector","Exact title","https://starwars.fandom.com/wiki/Alsakan"
"Altier","O13","Altier","Altier","Altier sector","Exact title","https://starwars.fandom.com/wiki/Altier"
"Altor","U13","Zoraster","Altor system","Zoraster sector","System or continuity variant","https://starwars.fandom.com/wiki/Altor_system"
"Altratonne","S7","Ash Worlds","Altratonne","Ash Worlds","Exact title","https://starwars.fandom.com/wiki/Altratonne"
"Alui","O17","Alui","Alui system","Alui sector","System or continuity variant","https://starwars.fandom.com/wiki/Alui_system"
"Alzoc","P19","Sujimis","Alzoc system","Sujimis sector","System or continuity variant","https://starwars.fandom.com/wiki/Alzoc_system"
"Amarin","S6","Allied Tion","Amarin","Tion Cluster","Exact title","https://starwars.fandom.com/wiki/Amarin"
"Ambria","O10","Airon","Ambria","Airon sector","Exact title","https://starwars.fandom.com/wiki/Ambria"
"Ammuud","S4","Corporate Sector","Ammuud","Corporate Sector","Exact title","https://starwars.fandom.com/wiki/Ammuud"
"Anantapar","K18","Yarith","Anantapar","Yarith sector","Exact title","https://starwars.fandom.com/wiki/Anantapar"
"Anaxes","L9","Azure sector","Anaxes/Legends","Azure sector","Exact title","https://starwars.fandom.com/wiki/Anaxes%2FLegends"
"Andalia","O9","Hapes Cluster","Andalia system","Hapes Cluster","System or continuity variant","https://starwars.fandom.com/wiki/Andalia_system"
"Andelm IV","Q19","Svivreni sector","Andelm IV","Svivreni sector","Search result","https://starwars.fandom.com/wiki/Andelm_IV"
"Ando","Q15","Lambda","Ando","Lambda sector","Exact title","https://starwars.fandom.com/wiki/Ando"
"Andooweel","R16","Arkanis","Andooweel","Arkanis sector","Exact title","https://starwars.fandom.com/wiki/Andooweel"
"Andosha","P15","Lambda","Andosha system","Lambda sector","System or continuity variant","https://starwars.fandom.com/wiki/Andosha_system"
"Anemcoro","K5","Albarrio","Anemcoro","Albarrio sector","Exact title","https://starwars.fandom.com/wiki/Anemcoro"
"Angor","K4","Myto","Angor system","Myto sector","System or continuity variant","https://starwars.fandom.com/wiki/Angor_system"
"Angratha","L18","Senex","Angratha","Senex sector","Exact title","https://starwars.fandom.com/wiki/Angratha"
"Ank Kit'aar","O15","Druess","Ank Kit'aar","Druess sector","Exact title","https://starwars.fandom.com/wiki/Ank_Kit'aar"
"Ankus","I7","Freestanding Subsectors","Ankus/Legends","Freestanding subsectors","Exact title","https://starwars.fandom.com/wiki/Ankus%2FLegends"
"Annaj","H16","Moddell","Annaj","Zuma sector","Exact title","https://starwars.fandom.com/wiki/Annaj"
"Anoat","K18","Anoat","Anoat","Javin sector","Exact title","https://starwars.fandom.com/wiki/Anoat"
"Anobis","L7","Bright Jewel","Anobis","Bright Jewel sector","Exact title","https://starwars.fandom.com/wiki/Anobis"
"Anorelga","K3","Braxant","Anorelga system","Braxant sector","System or continuity variant","https://starwars.fandom.com/wiki/Anorelga_system"
"Ansion","I6","Churnis","Ansion","Churnis sector","Exact title","https://starwars.fandom.com/wiki/Ansion"
"Anstares","L17","Juvex","Anstares system","Juvex sector","System or continuity variant","https://starwars.fandom.com/wiki/Anstares_system"
"Anteevy","P7","Esuain","Anteevy","Esuain sector","Exact title","https://starwars.fandom.com/wiki/Anteevy"
"Antemeridias","R7","Antemeridian","Antemeridias","Antemeridian sector","Exact title","https://starwars.fandom.com/wiki/Antemeridias"
"Antipose","U8","Centrality","Antipose","Centrality","Exact title","https://starwars.fandom.com/wiki/Antipose"
"Antiquity","L18","Senex","Antiquity","Senex sector","Exact title","https://starwars.fandom.com/wiki/Antiquity"
"Anturus","L18","Senex","Anturus","Senex sector","Exact title","https://starwars.fandom.com/wiki/Anturus"
"Anx Minor","L4","Raioballo","Anx Minor","Raioballo sector","Exact title","https://starwars.fandom.com/wiki/Anx_Minor"
"Anzat","R7","Bryx","Anzat","Bryx sector","Exact title","https://starwars.fandom.com/wiki/Anzat"
"Apatros","Q16","Savareen","Apatros","Savareen sector","Exact title","https://starwars.fandom.com/wiki/Apatros"
"Aquaris","N7","Sumitra","Aquaris","Sumitra sector","Exact title","https://starwars.fandom.com/wiki/Aquaris"
"Aquella","L17","Senex","Aquella","Senex-Juvex","Exact title","https://starwars.fandom.com/wiki/Aquella"
"Aquilae","N12","Colonies","Aquilae","Colonies","Exact title","https://starwars.fandom.com/wiki/Aquilae"
"Arabanth","O9","Hapes Cluster","Arabanth","Hapes Cluster","Exact title","https://starwars.fandom.com/wiki/Arabanth"
"Arami","T13","Galov","Arami","Galov sector","Exact title","https://starwars.fandom.com/wiki/Arami"
"Arbra","N17","Bon'nyuw-Luq","Arbra","Bon'nyuw-Luq sector","Exact title","https://starwars.fandom.com/wiki/Arbra"
"Arcan","R6","Cronese Mandate","Arcan system","Cronese Mandate","Search result","https://starwars.fandom.com/wiki/Arcan_system"
"Archais","O9","Hapes Cluster","Archais","Hapes Cluster","Exact title","https://starwars.fandom.com/wiki/Archais"
"Arda","Q6","Gordian Reach","Arda","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Arda"
"Argai","S6","Cronese Mandate","Argai","Cronese Mandate","Exact title","https://starwars.fandom.com/wiki/Argai"
"Argai Minor","M9","Haldeen sector","Argai Minor","Haldeen sector","Exact title","https://starwars.fandom.com/wiki/Argai_Minor"
"Argazda","N4","Kanz","Argazda","Kanz sector","Exact title","https://starwars.fandom.com/wiki/Argazda"
"Argovia","S14","Endocray","Argovia","Endocray sector","Exact title","https://starwars.fandom.com/wiki/Argovia"
"Argus","P16","Lambda","Argus","Lambda sector","Exact title","https://starwars.fandom.com/wiki/Argus"
"Aridus","O14","Narvath","Aridus","Narvath sector","Exact title","https://starwars.fandom.com/wiki/Aridus"
"Aris","K5","Albarrio","Aris","Albarrio sector","Exact title","https://starwars.fandom.com/wiki/Aris"
"Arkanis","R17","Arkanis","Arkanis","Arkanis sector","Exact title","https://starwars.fandom.com/wiki/Arkanis"
"Arkuda","Q6","Gordian Reach","Arkuda","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Arkuda"
"Arleen","T8","Centrality","Arleen system","Centrality","System or continuity variant","https://starwars.fandom.com/wiki/Arleen_system"
"Arporatal-Lanin","K18","Juvex","Arporatal-Lanin","Senex-Juvex","Exact title","https://starwars.fandom.com/wiki/Arporatal-Lanin"
"Arrgaw","N16","Kira","Arrgaw","Kira sector","Exact title","https://starwars.fandom.com/wiki/Arrgaw"
"Artesia","P11","Hangshan","Artesia","Hangshan sector","Exact title","https://starwars.fandom.com/wiki/Artesia"
"Aruza","I14","Freestanding Subsectors","Aruza/Legends","Freestanding subsectors","Exact title","https://starwars.fandom.com/wiki/Aruza%2FLegends"
"Asation","K3","Gree","Asation","Veragi sector","Exact title","https://starwars.fandom.com/wiki/Asation"
"Ashas Ree","R5","Sith Worlds","Ashas Ree","Esstran sector","Exact title","https://starwars.fandom.com/wiki/Ashas_Ree"
"Askaj","M20","Subterrel","Askaj","Cegul sector","Exact title","https://starwars.fandom.com/wiki/Askaj"
"Asmeru","L17","Senex","Asmeru","Senex sector","Exact title","https://starwars.fandom.com/wiki/Asmeru"
"Asmeru Anomaly","L17","Senex","Asmeru Anomaly","Senex-Juvex","Exact title","https://starwars.fandom.com/wiki/Asmeru_Anomaly"
"Ast Kikorie","H16","Moddell","Ast Kikorie","Zuma sector","Exact title","https://starwars.fandom.com/wiki/Ast_Kikorie"
"Atchorb","S3","Corporate Sector","Atchorb","Corporate Sector","Exact title","https://starwars.fandom.com/wiki/Atchorb"
"Athiss","R4","Sith Worlds","Athiss","Esstran sector","Exact title","https://starwars.fandom.com/wiki/Athiss"
"Atollon","U7","Lothal sector","Atollon","Lothal sector","Search result","https://starwars.fandom.com/wiki/Atollon"
"Atorra","Q5","Gordian Reach","Atorra","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Atorra"
"Atravis","L19","Atravis","Atravis system","Atravis sector","System or continuity variant","https://starwars.fandom.com/wiki/Atravis_system"
"Atron","L18","Senex","Atron","Senex sector","Exact title","https://starwars.fandom.com/wiki/Atron"
"Attahox","P12","Hocatar","Attahox/Legends","Hocatar sector","Exact title","https://starwars.fandom.com/wiki/Attahox%2FLegends"
"Austan","R16","Arkanis","Austan system","Arkanis sector","System or continuity variant","https://starwars.fandom.com/wiki/Austan_system"
"Avenelle","P9","Lantillian","Avenelle","Lantillian sector","Exact title","https://starwars.fandom.com/wiki/Avenelle"
"Averam","M18","Seswenna","Averam","Seswenna sector","Exact title","https://starwars.fandom.com/wiki/Averam"
"Avidich","E8","Chiss Ascendancy","Avidich","Chiss Space","Exact title","https://starwars.fandom.com/wiki/Avidich"
"Axxila","O5","D'Astan","Axxila","D'Astan sector","Exact title","https://starwars.fandom.com/wiki/Axxila"
"Aztubek","K18","Javin","Aztubek/Legends","Greater Javin","Exact title","https://starwars.fandom.com/wiki/Aztubek%2FLegends"
"Azure","P8","Truum","Azure","Truum sector","Exact title","https://starwars.fandom.com/wiki/Azure"
"Azzameen Station","N17","Garis sector","Azzameen Station","Garis sector","Exact title","https://starwars.fandom.com/wiki/Azzameen_Station"
"B-Foroon","R16","Arkanis","B-Foroon","Arkanis sector","Exact title","https://starwars.fandom.com/wiki/B-Foroon"
"B'trilla","Q5","Gordian Reach","B'trilla","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/B'trilla"
"Bacrana","O14","Brak","Bacrana","Brak sector","Exact title","https://starwars.fandom.com/wiki/Bacrana"
"Bahalian","P18","Astal","Bahalian system","Astal sector","System or continuity variant","https://starwars.fandom.com/wiki/Bahalian_system"
"Bajic","P18","Bajic","Bajic system","Bajic sector","System or continuity variant","https://starwars.fandom.com/wiki/Bajic_system"
"Bakura","G16","Bakura","Bakura/Legends","Bakura sector","Exact title","https://starwars.fandom.com/wiki/Bakura%2FLegends"
"Balamak","Q9","Taldot","Balamak","Taldot sector","Exact title","https://starwars.fandom.com/wiki/Balamak"
"Baldavia","O9","Hapes Cluster","Baldavia system","Hapes Cluster","System or continuity variant","https://starwars.fandom.com/wiki/Baldavia_system"
"Balis-Baurgh","K16","Sombure","Balis-Baurgh","Sombure sector","Exact title","https://starwars.fandom.com/wiki/Balis-Baurgh"
"Balnab","L7","Bright Jewel","Balnab","Bright Jewel sector","Exact title","https://starwars.fandom.com/wiki/Balnab"
"Baltizaar","K7","Corthenia","Baltizaar","Corthenia sector","Exact title","https://starwars.fandom.com/wiki/Baltizaar"
"Ban-Satir","S4","Corporate Sector","Ban-Satir system","Corporate Sector","System or continuity variant","https://starwars.fandom.com/wiki/Ban-Satir_system"
"Bandomeer","O6","Meerian","Bandomeer","Meerian sector","Exact title","https://starwars.fandom.com/wiki/Bandomeer"
"Bannistar Station","O15","Hevvrol","Bannistar Station","Hevvrol sector","Exact title","https://starwars.fandom.com/wiki/Bannistar_Station"
"Barab","U12","Albanin","Barab system","Albanin sector","System or continuity variant","https://starwars.fandom.com/wiki/Barab_system"
"Barcaria","K16","Sombure","Barcaria","Sombure sector","Exact title","https://starwars.fandom.com/wiki/Barcaria"
