"Planet","Grid","CurrentSector","WookieepediaStubTitle","MatchType","SourceUrl"
"A-Foroon","R16","Arkanis","Arkanis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Arkanis_sector"
"Aargonar","Q7","Perkell","Perkell sector","Sector-normalized title","https://starwars.fandom.com/wiki/Perkell_sector"
"Abafar","N5","Sprizen","Sprizen sector","Sector-normalized title","https://starwars.fandom.com/wiki/Sprizen_sector"
"Abbaji","H16","Zuma","Zuma sector","Sector-normalized title","https://starwars.fandom.com/wiki/Zuma_sector"
"Abhean","R7","Maldrood","Maldrood sector","Sector-normalized title","https://starwars.fandom.com/wiki/Maldrood_sector"
"Abraxas","K17","Yushan","Yushan sector","Sector-normalized title","https://starwars.fandom.com/wiki/Yushan_sector"
"Absit","I19","Tunka","Tunka sector","Sector-normalized title","https://starwars.fandom.com/wiki/Tunka_sector"
"Adari","M9","Adari","Adari sector/Legends","Sector-normalized title","https://starwars.fandom.com/wiki/Adari_sector%2FLegends"
"Adoris","L17","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Aduba","U11","Bheriz","Bheriz sector","Sector-normalized title","https://starwars.fandom.com/wiki/Bheriz_sector"
"Aeneid","T10","Kessel","Kessel sector","Sector-normalized title","https://starwars.fandom.com/wiki/Kessel_sector"
"Agamar","M5","Lahara","Lahara sector","Sector-normalized title","https://starwars.fandom.com/wiki/Lahara_sector"
"Ahakista","K3","Myto","Myto sector","Sector-normalized title","https://starwars.fandom.com/wiki/Myto_sector"
"Akuria","M5","Oplovis","Oplovis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Oplovis_sector"
"Alakatha","M16","Var Hagen","Var Hagen sector/Legends","Sector-normalized title","https://starwars.fandom.com/wiki/Var_Hagen_sector%2FLegends"
"Alassa Major","O16","Vilonis","Vilonis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Vilonis_sector"
"Alderaan","M10","Alderaan sector","Alderaan sector","Exact title","https://starwars.fandom.com/wiki/Alderaan_sector"
"Aldraig","M10","Alderaan sector","Alderaan sector","Exact title","https://starwars.fandom.com/wiki/Alderaan_sector"
"Aleen","L7","Bright Jewel","Bright Jewel sector","Sector-normalized title","https://starwars.fandom.com/wiki/Bright_Jewel_sector"
"Algara","P15","Corweillian","Corweillian sector","Sector-normalized title","https://starwars.fandom.com/wiki/Corweillian_sector"
"Algarian","Q15","Dufilvian","Dufilvian sector","Sector-normalized title","https://starwars.fandom.com/wiki/Dufilvian_sector"
"Algor","S6","Cronese Mandate","Cronese Mandate","Exact title","https://starwars.fandom.com/wiki/Cronese_Mandate"
"Allanteen","O14","Tynna","Tynna sector","Sector-normalized title","https://starwars.fandom.com/wiki/Tynna_sector"
"Allyuen","K18","Anoat","Anoat sector","Sector-normalized title","https://starwars.fandom.com/wiki/Anoat_sector"
"Almania","S5","Mortex","Mortex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Mortex_sector"
"Alsakan","L9","Alsaka sector","Alsaka sector","Exact title","https://starwars.fandom.com/wiki/Alsaka_sector"
"Altier","O13","Altier","Altier sector","Sector-normalized title","https://starwars.fandom.com/wiki/Altier_sector"
"Altor","U13","Zoraster","Zoraster sector","Sector-normalized title","https://starwars.fandom.com/wiki/Zoraster_sector"
"Alui","O17","Alui","Alui sector","Sector-normalized title","https://starwars.fandom.com/wiki/Alui_sector"
"Alzoc","P19","Sujimis","Sujimis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Sujimis_sector"
"Amarin","S6","Allied Tion","Allied Tion sector","Sector-normalized title","https://starwars.fandom.com/wiki/Allied_Tion_sector"
"Ambria","O10","Airon","Airon sector","Sector-normalized title","https://starwars.fandom.com/wiki/Airon_sector"
"Anaxes","L9","Azure sector","Azure sector","Exact title","https://starwars.fandom.com/wiki/Azure_sector"
"Andalasa","P18","Cor'ric","Cor'ric sector","Sector-normalized title","https://starwars.fandom.com/wiki/Cor'ric_sector"
"Andelm IV","Q19","Svivreni","Svivreni sector/Legends","Sector-normalized title","https://starwars.fandom.com/wiki/Svivreni_sector%2FLegends"
"Andooweel","R16","Arkanis","Arkanis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Arkanis_sector"
"Anemcoro","K5","Albarrio","Albarrio sector/Legends","Sector-normalized title","https://starwars.fandom.com/wiki/Albarrio_sector%2FLegends"
"Angor","K4","Myto","Myto sector","Sector-normalized title","https://starwars.fandom.com/wiki/Myto_sector"
"Angratha","L18","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Ank Kit'aar","O15","Druess","Druess sector","Sector-normalized title","https://starwars.fandom.com/wiki/Druess_sector"
"Annaj","H16","Moddell","Moddell sector","Sector-normalized title","https://starwars.fandom.com/wiki/Moddell_sector"
"Anoat","K18","Anoat","Anoat sector","Sector-normalized title","https://starwars.fandom.com/wiki/Anoat_sector"
"Anobis","L7","Bright Jewel","Bright Jewel sector","Sector-normalized title","https://starwars.fandom.com/wiki/Bright_Jewel_sector"
"Anorelga","K3","Braxant","Braxant sector","Sector-normalized title","https://starwars.fandom.com/wiki/Braxant_sector"
"Anstares","L17","Juvex","Juvex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Juvex_sector"
"Anteevy","P7","Esuain","Esuain sector","Sector-normalized title","https://starwars.fandom.com/wiki/Esuain_sector"
"Antemeridias","R7","Antemeridian","Antemeridian sector","Sector-normalized title","https://starwars.fandom.com/wiki/Antemeridian_sector"
"Antipose","U8","Centrality","Centrality","Exact title","https://starwars.fandom.com/wiki/Centrality"
"Antiquity","L18","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Anturus","L18","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Anx Minor","L4","Raioballo","Raioballo sector","Sector-normalized title","https://starwars.fandom.com/wiki/Raioballo_sector"
"Anzat","R7","Bryx","Bryx sector","Sector-normalized title","https://starwars.fandom.com/wiki/Bryx_sector"
"Apatros","Q16","Savareen","Savareen sector","Sector-normalized title","https://starwars.fandom.com/wiki/Savareen_sector"
"Aquaris","N7","Sumitra","Sumitra sector","Sector-normalized title","https://starwars.fandom.com/wiki/Sumitra_sector"
"Aquella","L17","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Arami","T13","Galov","Galov sector","Sector-normalized title","https://starwars.fandom.com/wiki/Galov_sector"
"Arcan","R6","Thanium","Thanium sector","Sector-normalized title","https://starwars.fandom.com/wiki/Thanium_sector"
"Arda","Q6","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
"Argai","S6","Cronese Mandate","Cronese Mandate","Exact title","https://starwars.fandom.com/wiki/Cronese_Mandate"
"Argai Minor","M9","Haldeen sector","Haldeen sector","Exact title","https://starwars.fandom.com/wiki/Haldeen_sector"
"Argazda","N4","Kanz","Kanz sector","Sector-normalized title","https://starwars.fandom.com/wiki/Kanz_sector"
"Aridus","O14","Narvath","Narvath sector","Sector-normalized title","https://starwars.fandom.com/wiki/Narvath_sector"
"Aris","K5","Albarrio","Albarrio sector/Legends","Sector-normalized title","https://starwars.fandom.com/wiki/Albarrio_sector%2FLegends"
"Arkanis","R17","Arkanis","Arkanis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Arkanis_sector"
"Arkuda","Q6","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
"Arleen","T8","Centrality","Centrality","Exact title","https://starwars.fandom.com/wiki/Centrality"
"Arporatal-Lanin","K18","Juvex","Juvex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Juvex_sector"
"Artesia","P11","Hangshan","Hangshan sector","Sector-normalized title","https://starwars.fandom.com/wiki/Hangshan_sector"
"Ashas Ree","R5","Sith Worlds","Sith Worlds","Exact title","https://starwars.fandom.com/wiki/Sith_Worlds"
"Askaj","M20","Subterrel","Subterrel sector","Sector-normalized title","https://starwars.fandom.com/wiki/Subterrel_sector"
"Asmeru","L17","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Asmeru Anomaly","L17","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Ast Kikorie","H16","Moddell","Moddell sector","Sector-normalized title","https://starwars.fandom.com/wiki/Moddell_sector"
"Athiss","R4","Sith Worlds","Sith Worlds","Exact title","https://starwars.fandom.com/wiki/Sith_Worlds"
"Atollon","U7","Lothal sector","Lothal sector","Exact title","https://starwars.fandom.com/wiki/Lothal_sector"
"Ator","M10","Alderaan Sector","Alderaan sector","Exact title","https://starwars.fandom.com/wiki/Alderaan_sector"
"Atorra","Q5","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
"Atravis","L19","Atravis","Atravis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Atravis_sector"
"Atron","L18","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Attahox","P12","Hocatar","Hocatar sector","Sector-normalized title","https://starwars.fandom.com/wiki/Hocatar_sector"
"Austan","R16","Arkanis","Arkanis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Arkanis_sector"
"Avenelle","P9","Lantillian","Lantillian sector","Sector-normalized title","https://starwars.fandom.com/wiki/Lantillian_sector"
"Averam","M18","Seswenna","Seswenna sector","Sector-normalized title","https://starwars.fandom.com/wiki/Seswenna_sector"
"Axxila","O5","D'Astan","D'Astan sector","Sector-normalized title","https://starwars.fandom.com/wiki/D'Astan_sector"
"Aztubek","K18","Javin","Javin sector","Sector-normalized title","https://starwars.fandom.com/wiki/Javin_sector"
"Azure","P8","Truum","Truum sector","Sector-normalized title","https://starwars.fandom.com/wiki/Truum_sector"
"Azzameen Station","N17","Garis sector","Garis sector","Exact title","https://starwars.fandom.com/wiki/Garis_sector"
"B-Foroon","R16","Arkanis","Arkanis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Arkanis_sector"
"B'trilla","Q5","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
"Bahalian","P18","Astal","Astal sector","Sector-normalized title","https://starwars.fandom.com/wiki/Astal_sector"
"Bajic","P18","Bajic","Bajic sector","Sector-normalized title","https://starwars.fandom.com/wiki/Bajic_sector"
"Bakura","G16","Bakura","Bakura sector","Sector-normalized title","https://starwars.fandom.com/wiki/Bakura_sector"
"Balamak","Q9","Taldot","Taldot sector","Sector-normalized title","https://starwars.fandom.com/wiki/Taldot_sector"
"Balis-Baurgh","K16","Sombure","Sombure sector","Sector-normalized title","https://starwars.fandom.com/wiki/Sombure_sector"
"Balmorra","M10","Alderaan Sector","Alderaan sector","Exact title","https://starwars.fandom.com/wiki/Alderaan_sector"
"Balnab","L7","Bright Jewel","Bright Jewel sector","Sector-normalized title","https://starwars.fandom.com/wiki/Bright_Jewel_sector"
"Baltizaar","K7","Corthenia","Corthenia sector","Sector-normalized title","https://starwars.fandom.com/wiki/Corthenia_sector"
"Bannistar Station","O15","Hevvrol","Hevvrol sector","Sector-normalized title","https://starwars.fandom.com/wiki/Hevvrol_sector"
"Barab","U12","Albanin","Albanin sector","Sector-normalized title","https://starwars.fandom.com/wiki/Albanin_sector"
"Barcaria","K16","Sombure","Sombure sector","Sector-normalized title","https://starwars.fandom.com/wiki/Sombure_sector"
"Bardotta","J13","Shasos sector","Shasos sector","Exact title","https://starwars.fandom.com/wiki/Shasos_sector"
"Barenth","K8","Drannik","Drannik sector","Sector-normalized title","https://starwars.fandom.com/wiki/Drannik_sector"
"Barison","Q6","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
"Barkhesh","K19","Seitia","Seitia sector/Legends","Sector-normalized title","https://starwars.fandom.com/wiki/Seitia_sector%2FLegends"
"Baroli","N14","Baroli","Baroli sector","Sector-normalized title","https://starwars.fandom.com/wiki/Baroli_sector"
"Baros","U7","Dominus","Dominus sector","Sector-normalized title","https://starwars.fandom.com/wiki/Dominus_sector"
"Barseg","S6","Allied Tion","Allied Tion sector","Sector-normalized title","https://starwars.fandom.com/wiki/Allied_Tion_sector"
"Bastion","K3","Braxant","Braxant sector","Sector-normalized title","https://starwars.fandom.com/wiki/Braxant_sector"
"Bastooine","I17","Graador","Graador sector","Sector-normalized title","https://starwars.fandom.com/wiki/Graador_sector"
"Bator Bai","L18","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Baummu","U8","Shadola","Shadola sector","Sector-normalized title","https://starwars.fandom.com/wiki/Shadola_sector"
"Bavva","K18","Anoat","Anoat sector","Sector-normalized title","https://starwars.fandom.com/wiki/Anoat_sector"
"Begeren","R4","Sith Worlds","Sith Worlds","Exact title","https://starwars.fandom.com/wiki/Sith_Worlds"
"Belasco","O11","Belasco","Belasco sector","Sector-normalized title","https://starwars.fandom.com/wiki/Belasco_sector"
"Belassar","J8","Sarla","Sarla sector","Sector-normalized title","https://starwars.fandom.com/wiki/Sarla_sector"
"Belderone","R6","Belderone","Belderone sector","Sector-normalized title","https://starwars.fandom.com/wiki/Belderone_sector"
"Belkadan","L1","Dalonbian","Dalonbian sector","Sector-normalized title","https://starwars.fandom.com/wiki/Dalonbian_sector"
"Belnar","M9","Belnar sector","Belnar sector","Exact title","https://starwars.fandom.com/wiki/Belnar_sector"
"Belsavis","L18","Bozhnee","Bozhnee sector","Sector-normalized title","https://starwars.fandom.com/wiki/Bozhnee_sector"
"Bendeluum","K18","Anoat","Anoat sector","Sector-normalized title","https://starwars.fandom.com/wiki/Anoat_sector"
"Berchest","N8","Anthos","Anthos sector","Sector-normalized title","https://starwars.fandom.com/wiki/Anthos_sector"
"Berrol's Donn","K19","Kriz","Kriz sector","Sector-normalized title","https://starwars.fandom.com/wiki/Kriz_sector"
"Besberra","L20","Subterrel","Subterrel sector","Sector-normalized title","https://starwars.fandom.com/wiki/Subterrel_sector"
"Bescane","K3","Obtrexta","Obtrexta sector","Sector-normalized title","https://starwars.fandom.com/wiki/Obtrexta_sector"
"Bespin","K18","Anoat","Anoat sector","Sector-normalized title","https://starwars.fandom.com/wiki/Anoat_sector"
"Betha","P4","Corva","Corva sector","Sector-normalized title","https://starwars.fandom.com/wiki/Corva_sector"
"Betshish","P5","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
"Bettel","K18","Javin","Javin sector","Sector-normalized title","https://starwars.fandom.com/wiki/Javin_sector"
"Bhargebba","R4","Sith Worlds","Sith Worlds","Exact title","https://starwars.fandom.com/wiki/Sith_Worlds"
"Bheriz","U10","Bheriz","Bheriz sector","Sector-normalized title","https://starwars.fandom.com/wiki/Bheriz_sector"
"Biitu","K5","Cassander","Cassander subsector","Sector-normalized title","https://starwars.fandom.com/wiki/Cassander_subsector"
"Bimmiel","N4","Kanz","Kanz sector","Sector-normalized title","https://starwars.fandom.com/wiki/Kanz_sector"
"Bimmisaari","R9","Halla","Halla sector","Sector-normalized title","https://starwars.fandom.com/wiki/Halla_sector"
"Birgis","M3","Dalonbian","Dalonbian sector","Sector-normalized title","https://starwars.fandom.com/wiki/Dalonbian_sector"
"Bissillirus","Q10","Trax","Trax sector","Sector-normalized title","https://starwars.fandom.com/wiki/Trax_sector"
"Bith","M18","Mayagil","Mayagil sector","Sector-normalized title","https://starwars.fandom.com/wiki/Mayagil_sector"
"Blenjeel","Q15","Dufilvian","Dufilvian sector","Sector-normalized title","https://starwars.fandom.com/wiki/Dufilvian_sector"
"Bnar","K3","Braxant","Braxant sector","Sector-normalized title","https://starwars.fandom.com/wiki/Braxant_sector"
"Bomis Koori","K16","Wornal","Wornal sector","Sector-normalized title","https://starwars.fandom.com/wiki/Wornal_sector"
"Boordii","N7","Sumitra","Sumitra sector","Sector-normalized title","https://starwars.fandom.com/wiki/Sumitra_sector"
"Borgo Prime","M6","Oricho","Oricho sector","Sector-normalized title","https://starwars.fandom.com/wiki/Oricho_sector"
"Borkyne","L15","Bes Ber Bikade","Bes Ber Bikade sector","Sector-normalized title","https://starwars.fandom.com/wiki/Bes_Ber_Bikade_sector"
"Boro-borosa","L18","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Borosk","K5","Prefsbelt","Prefsbelt sector","Sector-normalized title","https://starwars.fandom.com/wiki/Prefsbelt_sector"
"Bortras","M18","Brema","Brema sector","Sector-normalized title","https://starwars.fandom.com/wiki/Brema_sector"
"Bosph","Q3","Bosph","Bosph sector","Sector-normalized title","https://starwars.fandom.com/wiki/Bosph_sector"
"Bosthirda","R5","Sith Worlds","Sith Worlds","Exact title","https://starwars.fandom.com/wiki/Sith_Worlds"
"Botajef","O6","Belsmuth","Belsmuth sector","Sector-normalized title","https://starwars.fandom.com/wiki/Belsmuth_sector"
"Bothawui","R14","Bothan Space","Bothan Space","Exact title","https://starwars.fandom.com/wiki/Bothan_Space"
"Botor","K12","Botor Enclave","Botor Enclave","Exact title","https://starwars.fandom.com/wiki/Botor_Enclave"
"Boz Pity","S9","Halla","Halla sector","Sector-normalized title","https://starwars.fandom.com/wiki/Halla_sector"
"Bpfassh","M19","Sluis","Sluis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Sluis_sector"
"Brevost","O15","Brevost","Brevost sector","Sector-normalized title","https://starwars.fandom.com/wiki/Brevost_sector"
"Brigia","T6","Tion Hegemony","Tion Hegemony","Exact title","https://starwars.fandom.com/wiki/Tion_Hegemony"
"Brodo Asogi","J4","Perinn","Perinn sector","Sector-normalized title","https://starwars.fandom.com/wiki/Perinn_sector"
"Bronsoon","P6","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
"Bryexx","M13","Varvenna Sector","Varvenna sector","Exact title","https://starwars.fandom.com/wiki/Varvenna_sector"
"Bryx","R8","Bryx","Bryx sector","Sector-normalized title","https://starwars.fandom.com/wiki/Bryx_sector"
"Bseto","P7","Msst","Msst sector","Sector-normalized title","https://starwars.fandom.com/wiki/Msst_sector"
"Buchich","U6","Calamari","Calamari sector","Sector-normalized title","https://starwars.fandom.com/wiki/Calamari_sector"
"Bunduki","H16","Pacanth Reach","Pacanth Reach","Exact title","https://starwars.fandom.com/wiki/Pacanth_Reach"
"Burnin Konn","K18","Anoat","Anoat sector","Sector-normalized title","https://starwars.fandom.com/wiki/Anoat_sector"
"C-Foroon","R16","Arkanis","Arkanis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Arkanis_sector"
"Caamas","M9","Adari Sector","Adari sector/Legends","Exact title","https://starwars.fandom.com/wiki/Adari_sector%2FLegends"
"Cademimu","M6","Cademimu","Cademimu sector","Sector-normalized title","https://starwars.fandom.com/wiki/Cademimu_sector"
"Cadinth","S6","Allied Tion","Allied Tion sector","Sector-normalized title","https://starwars.fandom.com/wiki/Allied_Tion_sector"
"Cadma","T8","Centrality","Centrality","Exact title","https://starwars.fandom.com/wiki/Centrality"
"Cadomai","R3","Aparo","Aparo sector","Sector-normalized title","https://starwars.fandom.com/wiki/Aparo_sector"
"Calonica","K16","Vensensor","Vensensor sector","Sector-normalized title","https://starwars.fandom.com/wiki/Vensensor_sector"
"Caltinia","L17","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Caluula","T6","Tion Hegemony","Tion Hegemony","Exact title","https://starwars.fandom.com/wiki/Tion_Hegemony"
"Cantras Gola","J4","Perinn","Perinn sector","Sector-normalized title","https://starwars.fandom.com/wiki/Perinn_sector"
"Cantros","J20","Saijo","Saijo sector","Sector-normalized title","https://starwars.fandom.com/wiki/Saijo_sector"
"Capella","Q6","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
