"CurrentSector","RecordCount","ExamplePlanets","Reason"
"A sector","1","Castell","No matching Wookieepedia Sector stubs category title."
"Aaeton Sector","13","Aaeton; Borleias; Dachat; Darada; Denevar; Galvoni; Merakai; Noquivzor","No matching Wookieepedia Sector stubs category title."
"Aargau Sector","16","Aargau; Besero; Broest; Cambria; Foerost; Had Abbadon; Jerrilek; Kailor","No matching Wookieepedia Sector stubs category title."
"Abo Dreth Sector","1","Mytus","No matching Wookieepedia Sector stubs category title."
"Abregado-rae Sector","10","Abregado-rae; Belgaroth; Cuvacia; Dentaal; Omar; Ophideraan; Steelious; Vaykaaris","No matching Wookieepedia Sector stubs category title."
"Adin Sector","1","Shalam","No matching Wookieepedia Sector stubs category title."
"Adumar Sector","2","Adumar; Aeten","No matching Wookieepedia Sector stubs category title."
"Affa Sector","11","Affa; Atzerri; Belazura; Enisca; Foless; Froswythe; Hillindor; Las Lagon","No matching Wookieepedia Sector stubs category title."
"Ahch-To Sector","1","Ahch-To","No matching Wookieepedia Sector stubs category title."
"Ailon Sector","8","Ailon; Antar; Atapap I; Besnia; Boudolayz; Havricus; Herzob; Koensayr","No matching Wookieepedia Sector stubs category title."
"Al-Nasrl","2","Syvris; Unagin","No matching Wookieepedia Sector stubs category title."
"Alashan Sector","2","Alashan; Poln System","No matching Wookieepedia Sector stubs category title."
"Algnadesh Sector","1","Porus Vida","No matching Wookieepedia Sector stubs category title."
"Alland Sector","11","Alland; Aradia; Keeara Major; Kuar; Norkronia; Prakith; Ruan; Salliche","No matching Wookieepedia Sector stubs category title."
"Alpheridies Sector","6","Dalcretti; Gravan Seven; Korda Six; Paonid; Pengalan; Taanab","No matching Wookieepedia Sector stubs category title."
"Alsakan Sector","16","Basilisk; Brentaal; Challon; Dankayo; Delle; Doldrums; Grizmallt; Jatir","No matching Wookieepedia Sector stubs category title."
"Ambria Sector","4","Gorse; Rasterous; Virujansi; Zeltros","No matching Wookieepedia Sector stubs category title."
"Ammuud Sector","1","Kadavo","No matching Wookieepedia Sector stubs category title."
"Andara Sector","12","Andara; Bassadro; Cilpar; Diamal; Eamus; Frego; Iphigin; Laakteen Depot","No matching Wookieepedia Sector stubs category title."
"Anoth Sector","1","Anoth","No matching Wookieepedia Sector stubs category title."
"Ansion Sector","1","Esfandia","No matching Wookieepedia Sector stubs category title."
"Antipose Sector","1","Pluthan","No matching Wookieepedia Sector stubs category title."
"Aphran Sector","6","Aphran; Carratos; Meastrinnar; Neshtab; Sif-Uwana; Voltare","No matching Wookieepedia Sector stubs category title."
"Aquaris Sector","1","Myrkr","No matching Wookieepedia Sector stubs category title."
"Arat Fraca Sector","12","Arat Fraca; Byblos; Chamm; Chasin; Condular; Exodeen; Gandeal; Hemei","No matching Wookieepedia Sector stubs category title."
"Arkam Sector","8","Arkam; Bestine; Borao; Heptalia; Kooriva; Roundtree; Vaklin; Xeron","No matching Wookieepedia Sector stubs category title."
"Arkania Sector","8","Arkania; Bogden; Dagary Minor; Ejolus; Kluistar; Mindor; Omonoth; Uphrades","No matching Wookieepedia Sector stubs category title."
"Ash Worlds","12","Agon; Altratonne; Chiron; Cophrigin; Iego; New Alderaan; Nyny; OHS1782-03","No matching Wookieepedia Sector stubs category title."
"Asrat Sector","6","Asrat; Carest; Eshan; Levian; Obroa-skai; Relatta","No matching Wookieepedia Sector stubs category title."
"Atollon Sector","1","Targon","No matching Wookieepedia Sector stubs category title."
"Atrisian Commonwealth","1","Kitel Phard","No matching Wookieepedia Sector stubs category title."
"Atrivis","14","Devon; Fedje; Fest; Generis; Gibbela; Hethar; Horuz (Despayre); Iridium","No matching Wookieepedia Sector stubs category title."
"Avidich Sector","1","Bogo Rai","No matching Wookieepedia Sector stubs category title."
"Azbrian Sector","9","Azbrian; Balosar; Crystan; Gama; Khomm; Lansono; Lujo; Shulxi","No matching Wookieepedia Sector stubs category title."
"Babbadod Sector","4","Babbadod; Dargulli; Itani; Shibric","No matching Wookieepedia Sector stubs category title."
"Baraboo Sector","23","Baraboo; Bellassa; Columus; Ebaq; Hakassi; Jaciprus; Lettow; Lolnar","No matching Wookieepedia Sector stubs category title."
"Baradas Sector","10","Baradas; Champala; Datar; Drearia; Milvayne; Nierport; Ord Antalaha; Ord Lithone","No matching Wookieepedia Sector stubs category title."
"Bardotta Sector","6","Candoria; Dahrtag; Mindabaal; Phu; Trunska; Zardossa Stix","No matching Wookieepedia Sector stubs category title."
"Batorine Sector","1","Batorine","No matching Wookieepedia Sector stubs category title."
"Belassar Sector","4","Bengat; Bilbringi; Reecee; Rondai","No matching Wookieepedia Sector stubs category title."
"Berri Sector","9","Berri; Colla IV; Corroth; Gelviddis Cluster; Kloper; Manress; Manwess; Tala","No matching Wookieepedia Sector stubs category title."
"Bextar Sector","3","Huk; Kalee; Tovarskl","No matching Wookieepedia Sector stubs category title."
"Bon'nyuw-Luq","2","Arbra; Sharlissia","No matching Wookieepedia Sector stubs category title."
"Borkyne Sector","4","Calus; Moorja; Ukatis; Wroona","No matching Wookieepedia Sector stubs category title."
"Botor Sector","9","Constancia; Cortina; Dulvoyinn; Gerrard; Kalist; Lialic; Thebeon; Thracior","No matching Wookieepedia Sector stubs category title."
"Brak","1","Bacrana","No matching Wookieepedia Sector stubs category title."
"Bruanii","3","Cargamalis; Mugaar; Quamar","No matching Wookieepedia Sector stubs category title."
"Buchich Sector","2","Hast; Zigoola","No matching Wookieepedia Sector stubs category title."
"Byss Sector","2","Byss; Odik","No matching Wookieepedia Sector stubs category title."
"Cadma","1","Dagelin Minor","No matching Wookieepedia Sector stubs category title."
"Calaron","9","Akrit'tar; Delacrix; Eadu; Fwillsving; Gestrex; Kegan; Kubindi; Lowick","No matching Wookieepedia Sector stubs category title."
"Cantons of Lahag","1","Lahag Erli","No matching Wookieepedia Sector stubs category title."
"Cato Neimoidia Sector","5","Damoria; Darek; Fadden; Lankashiir; Vanjervalis","No matching Wookieepedia Sector stubs category title."
"Celwis Sector","1","Celwis","No matching Wookieepedia Sector stubs category title."
"Chardaan Sector","7","Chardaan; Gendrah-Narvin; Genon; Perithal VI; Ronyards; Sagar; Spirana","No matching Wookieepedia Sector stubs category title."
"Chiss Ascendancy","23","Avidich; Cioral; Colonial Station Cam'co; Colonial Station Chaf; Copero; Cormit; Csaus; Csilla","No matching Wookieepedia Sector stubs category title."
"Cholganna Sector","1","Drongar","No matching Wookieepedia Sector stubs category title."
"Chommel","2","Karlinus; Naboo","No matching Wookieepedia Sector stubs category title."
"Churnis","5","Ansion; Gilatter; Kalaan; Namadii; Rustibar","No matching Wookieepedia Sector stubs category title."
"Clacis","9","Bisellia; Cezith; Dactruria; Endoraan; Fodro; Gwori; Kwevron; Ord Sedra","No matching Wookieepedia Sector stubs category title."
"Clythe","5","Fornax; Iridonia; Nentan; Valrar; Vortex","No matching Wookieepedia Sector stubs category title."
"Colonial Station Chaf Sector","2","Klasse Ephemora; Yashuvhu","No matching Wookieepedia Sector stubs category title."
"Colonies","1","Aquilae","No matching Wookieepedia Sector stubs category title."
"Commenor Sector","11","Commenor; Dartessex IV; Faro; Foundry; H'ratth; Mokk IX; Pavo Prime; Resht","No matching Wookieepedia Sector stubs category title."
"Corporate Sector","51","Abo Dreth; Ammuud; Atchorb; Ban-Satir; Biewa; Bonadan; Brosi; Cantonica","No matching Wookieepedia Sector stubs category title."
"Crakull Sector","1","Crakull","No matching Wookieepedia Sector stubs category title."
"D'Aelgoth","5","Feenix; New Cylimba; Ogem; Selenius; Tarsa","No matching Wookieepedia Sector stubs category title."
"Danjar","1","Queyta","No matching Wookieepedia Sector stubs category title."
"Dolis Sector","2","Qonto; Xerton","No matching Wookieepedia Sector stubs category title."
"Dosuun Sector","3","Dosuun; Mephout; Seoul","No matching Wookieepedia Sector stubs category title."
"Dulin Sector","5","Dulin; Fennesa; Pa Tho; Trevura; Yn","No matching Wookieepedia Sector stubs category title."
"Eclipse Sector","2","Eclipse; Tsoss Beacon","No matching Wookieepedia Sector stubs category title."
"Endocray","1","Argovia","No matching Wookieepedia Sector stubs category title."
"Eol Sha Sector","1","Gulma","No matching Wookieepedia Sector stubs category title."
"Essaga","1","Rettna","No matching Wookieepedia Sector stubs category title."
"Farana","2","Farana; Hull's Star","No matching Wookieepedia Sector stubs category title."
"Farstey","3","Alpheridies; Jendorn; Thisspias","No matching Wookieepedia Sector stubs category title."
"Fel Hu","3","Aikhibba; Beris; Hoylin","No matching Wookieepedia Sector stubs category title."
"Freestanding Subsectors","17","Ankus; Aruza; Burska; Celdaru; Codia; Geroon; Jedha; Kayri","No matching Wookieepedia Sector stubs category title."
"Galactic Center Sector","1","Galactic Center","No matching Wookieepedia Sector stubs category title."
"Givin Domain","1","Yag'Dhul","No matching Wookieepedia Sector stubs category title."
"Gorsh Sector","1","Gorsh","No matching Wookieepedia Sector stubs category title."
"Gree","2","Asation; Gree","No matching Wookieepedia Sector stubs category title."
"Hapes Cluster","57","Algnadesh; Andalia; Arabanth; Archais; Baldavia; Calfa; Carlania; Charubah","No matching Wookieepedia Sector stubs category title."
"Har Worlds","1","Har Binande","No matching Wookieepedia Sector stubs category title."
"Herglic Space","1","Giju","No matching Wookieepedia Sector stubs category title."
"Herios","2","Illarreen; Pzob","No matching Wookieepedia Sector stubs category title."
"Hijoan Space","1","Hijo","No matching Wookieepedia Sector stubs category title."
"Humbarine sector","1","Humbarine","No matching Wookieepedia Sector stubs category title."
"Hunnovers","1","Siskeen","No matching Wookieepedia Sector stubs category title."
"Hutt Space","85","Affavan; Alee; Aylayl; Bootana Shagplan; Carnovia; Circumtore; Cyax; Cyborrea","No matching Wookieepedia Sector stubs category title."
"I-Sector","4","Ferro; Mirial; Sikurd; Thila","No matching Wookieepedia Sector stubs category title."
"Immerian Outback","1","Pamorjal","No matching Wookieepedia Sector stubs category title."
"Imperial Center Oversector","1","Kiribi","No matching Wookieepedia Sector stubs category title."
"Imynusoph Sector","2","Kinooine; Zonju","No matching Wookieepedia Sector stubs category title."
"Indrexu","1","Janodral Mizar","No matching Wookieepedia Sector stubs category title."
"Inner Cluster","1","Cona","No matching Wookieepedia Sector stubs category title."
"Inra-su-Mar","1","Scardia","No matching Wookieepedia Sector stubs category title."
"Inysh Sector","2","Inysh; Osssorck Nebulae","No matching Wookieepedia Sector stubs category title."
"Iotra","1","Iotra","No matching Wookieepedia Sector stubs category title."
"Irishi","4","Gonmore; Obredaan; Ord Tessebok; Orinda","No matching Wookieepedia Sector stubs category title."
"Irnaj","1","Miztoc","No matching Wookieepedia Sector stubs category title."
"Iseno","1","Iseno","No matching Wookieepedia Sector stubs category title."
"Iseno sector","1","Denon","No matching Wookieepedia Sector stubs category title."
"Itopol","1","Llon Nebulae","No matching Wookieepedia Sector stubs category title."
"Janara Sector","10","Janara; Ketal; Laertos; Mechis III; Norah; Pitrolea; Renillis; Sukkult","No matching Wookieepedia Sector stubs category title."
"Jandur Sector","5","Jandur; K'taktaxka; Korbin; Shasfath; Tasariq","No matching Wookieepedia Sector stubs category title."
"Jubilar","2","Jubilar; Toong'l","No matching Wookieepedia Sector stubs category title."
"Juris","1","Stend","No matching Wookieepedia Sector stubs category title."
"Jurzan","1","Jurzan","No matching Wookieepedia Sector stubs category title."
"Kailion","3","Bovo Yagen; Tarmidia; Tlactehon","No matching Wookieepedia Sector stubs category title."
"Kastolar","7","Blimph; Chalacta; Durkteel; Kwenn; Sneeve; Ubrikkia; Yitabo","No matching Wookieepedia Sector stubs category title."
"Kathol","1","Kal'Shebbol","No matching Wookieepedia Sector stubs category title."
"Kiblini","1","Socorro","No matching Wookieepedia Sector stubs category title."
"Kira","6","Arrgaw; Kerkoidia; Kira; Lazerian; Pax; Ropagi","No matching Wookieepedia Sector stubs category title."
